state,naics_sector,motivation,n_firms,n_emp
15,22,To adopt standards and accreditation,0,0
15,22,Some other reason,0,0
16,22,To automate tasks performed by labor,0,0
16,22,To upgrade outdated processes or methods,0,0
16,22,To improve quality or reliability of processes or methods,0,0
16,22,To expand the range of goods or services,0,0
16,22,To adopt standards and accreditation,0,0
16,22,Some other reason,0,0
17,22,To automate tasks performed by labor,0,0
17,22,To upgrade outdated processes or methods,0,0
17,22,To improve quality or reliability of processes or methods,0,0
17,22,To expand the range of goods or services,0,0
17,22,To adopt standards and accreditation,0,0
17,22,Some other reason,0,0
18,22,To automate tasks performed by labor,0,0
18,22,To upgrade outdated processes or methods,0,0
18,22,To improve quality or reliability of processes or methods,0,0
18,22,To expand the range of goods or services,0,0
18,22,To adopt standards and accreditation,0,0
18,22,Some other reason,0,0
19,22,To automate tasks performed by labor,0,0
19,22,To upgrade outdated processes or methods,0,0
19,22,To improve quality or reliability of processes or methods,0,0
19,22,To expand the range of goods or services,0,0
19,22,To adopt standards and accreditation,0,0
19,22,Some other reason,0,0
20,22,To automate tasks performed by labor,0,0
20,22,To upgrade outdated processes or methods,0,0
20,22,To improve quality or reliability of processes or methods,0,0
20,22,To expand the range of goods or services,0,0
20,22,To adopt standards and accreditation,0,0
20,22,Some other reason,0,0
21,22,To automate tasks performed by labor,0,0
21,22,To upgrade outdated processes or methods,0,0
21,22,To improve quality or reliability of processes or methods,0,0
21,22,To expand the range of goods or services,0,0
21,22,To adopt standards and accreditation,0,0
21,22,Some other reason,0,0
22,22,To upgrade outdated processes or methods,0,0
22,22,To automate tasks performed by labor,0,0
22,22,To improve quality or reliability of processes or methods,0,0
22,22,To expand the range of goods or services,0,0
22,22,To adopt standards and accreditation,0,0
22,22,Some other reason,0,0
24,22,To automate tasks performed by labor,0,0
24,22,To upgrade outdated processes or methods,0,0
24,22,To improve quality or reliability of processes or methods,0,0
24,22,To expand the range of goods or services,0,0
24,22,To adopt standards and accreditation,0,0
24,22,Some other reason,0,0
23,22,To automate tasks performed by labor,0,0
23,22,To upgrade outdated processes or methods,0,0
23,22,To improve quality or reliability of processes or methods,0,0
23,22,To expand the range of goods or services,0,0
23,22,To adopt standards and accreditation,0,0
23,22,Some other reason,0,0
25,22,To automate tasks performed by labor,0,0
25,22,To upgrade outdated processes or methods,0,0
25,22,To improve quality or reliability of processes or methods,0,0
25,22,To expand the range of goods or services,0,0
25,22,To adopt standards and accreditation,0,0
25,22,Some other reason,0,0
26,22,To automate tasks performed by labor,0,0
26,22,To upgrade outdated processes or methods,0,0
26,22,To improve quality or reliability of processes or methods,0,0
26,22,To expand the range of goods or services,0,0
26,22,To adopt standards and accreditation,0,0
26,22,Some other reason,0,0
27,22,To upgrade outdated processes or methods,0,0
27,22,To automate tasks performed by labor,0,0
27,22,To improve quality or reliability of processes or methods,0,0
27,22,To expand the range of goods or services,0,0
27,22,To adopt standards and accreditation,0,0
27,22,Some other reason,0,0
28,22,To automate tasks performed by labor,0,0
28,22,To adopt standards and accreditation,0,0
28,22,To upgrade outdated processes or methods,0,0
28,22,To improve quality or reliability of processes or methods,0,0
28,22,To expand the range of goods or services,0,0
28,22,Some other reason,0,0
29,22,To automate tasks performed by labor,0,0
29,22,To adopt standards and accreditation,0,0
29,22,To upgrade outdated processes or methods,0,0
29,22,To improve quality or reliability of processes or methods,0,0
29,22,To expand the range of goods or services,0,0
29,22,Some other reason,0,0
30,22,To automate tasks performed by labor,0,0
30,22,To upgrade outdated processes or methods,0,0
30,22,To improve quality or reliability of processes or methods,0,0
30,22,To expand the range of goods or services,0,0
30,22,To adopt standards and accreditation,0,0
30,22,Some other reason,0,0
31,22,To automate tasks performed by labor,0,0
31,22,To upgrade outdated processes or methods,0,0
31,22,To improve quality or reliability of processes or methods,0,0
31,22,To expand the range of goods or services,0,0
31,22,To adopt standards and accreditation,0,0
31,22,Some other reason,0,0
32,22,To automate tasks performed by labor,0,0
32,22,To upgrade outdated processes or methods,0,0
32,22,To improve quality or reliability of processes or methods,0,0
32,22,To expand the range of goods or services,0,0
32,22,To adopt standards and accreditation,0,0
32,22,Some other reason,0,0
34,22,To automate tasks performed by labor,0,0
34,22,To upgrade outdated processes or methods,0,0
34,22,To improve quality or reliability of processes or methods,0,0
34,22,To expand the range of goods or services,0,0
34,22,To adopt standards and accreditation,0,0
34,22,Some other reason,0,0
33,22,To automate tasks performed by labor,0,0
33,22,To adopt standards and accreditation,0,0
33,22,To upgrade outdated processes or methods,0,0
33,22,To improve quality or reliability of processes or methods,0,0
33,22,To expand the range of goods or services,0,0
33,22,Some other reason,0,0
36,22,To automate tasks performed by labor,0,0
36,22,To upgrade outdated processes or methods,0,0
36,22,To improve quality or reliability of processes or methods,0,0
36,22,To expand the range of goods or services,0,0
36,22,To adopt standards and accreditation,0,0
36,22,Some other reason,0,0
35,22,To automate tasks performed by labor,0,0
35,22,To upgrade outdated processes or methods,0,0
35,22,To improve quality or reliability of processes or methods,0,0
35,22,To expand the range of goods or services,0,0
35,22,To adopt standards and accreditation,0,0
35,22,Some other reason,0,0
37,22,To automate tasks performed by labor,0,0
37,22,To upgrade outdated processes or methods,0,0
37,22,Some other reason,0,0
37,22,To improve quality or reliability of processes or methods,0,0
37,22,To expand the range of goods or services,0,0
37,22,To adopt standards and accreditation,0,0
38,22,To automate tasks performed by labor,0,0
38,22,To upgrade outdated processes or methods,0,0
38,22,To improve quality or reliability of processes or methods,0,0
38,22,To expand the range of goods or services,0,0
38,22,To adopt standards and accreditation,0,0
38,22,Some other reason,0,0
39,22,To automate tasks performed by labor,0,0
39,22,To upgrade outdated processes or methods,0,0
39,22,To improve quality or reliability of processes or methods,0,0
39,22,To expand the range of goods or services,0,0
39,22,To adopt standards and accreditation,0,0
39,22,Some other reason,0,0
40,22,To automate tasks performed by labor,0,0
40,22,To upgrade outdated processes or methods,0,0
40,22,To improve quality or reliability of processes or methods,0,0
40,22,To expand the range of goods or services,0,0
40,22,To adopt standards and accreditation,0,0
40,22,Some other reason,0,0
41,22,To automate tasks performed by labor,0,0
41,22,To upgrade outdated processes or methods,0,0
41,22,To improve quality or reliability of processes or methods,0,0
41,22,To expand the range of goods or services,0,0
41,22,To adopt standards and accreditation,0,0
41,22,Some other reason,0,0
42,22,To adopt standards and accreditation,0,0
42,22,Some other reason,0,0
42,22,To automate tasks performed by labor,0,0
42,22,To upgrade outdated processes or methods,0,0
42,22,To improve quality or reliability of processes or methods,0,0
42,22,To expand the range of goods or services,0,0
45,22,To automate tasks performed by labor,0,0
45,22,To upgrade outdated processes or methods,0,0
45,22,To improve quality or reliability of processes or methods,0,0
45,22,To expand the range of goods or services,0,0
45,22,To adopt standards and accreditation,0,0
45,22,Some other reason,0,0
44,22,To automate tasks performed by labor,0,0
44,22,To upgrade outdated processes or methods,0,0
44,22,To improve quality or reliability of processes or methods,0,0
44,22,To expand the range of goods or services,0,0
44,22,To adopt standards and accreditation,0,0
44,22,Some other reason,0,0
46,22,To automate tasks performed by labor,0,0
46,22,To upgrade outdated processes or methods,0,0
46,22,To improve quality or reliability of processes or methods,0,0
46,22,To expand the range of goods or services,0,0
46,22,To adopt standards and accreditation,0,0
46,22,Some other reason,0,0
47,22,To automate tasks performed by labor,0,0
47,22,To upgrade outdated processes or methods,0,0
47,22,To improve quality or reliability of processes or methods,0,0
47,22,To expand the range of goods or services,0,0
47,22,To adopt standards and accreditation,0,0
47,22,Some other reason,0,0
48,22,To automate tasks performed by labor,0,0
48,22,To upgrade outdated processes or methods,0,0
48,22,To improve quality or reliability of processes or methods,0,0
48,22,To expand the range of goods or services,0,0
48,22,To adopt standards and accreditation,0,0
48,22,Some other reason,0,0
49,22,To upgrade outdated processes or methods,0,0
49,22,To automate tasks performed by labor,0,0
49,22,To improve quality or reliability of processes or methods,0,0
49,22,To expand the range of goods or services,0,0
49,22,To adopt standards and accreditation,0,0
49,22,Some other reason,0,0
50,22,To automate tasks performed by labor,0,0
50,22,To upgrade outdated processes or methods,0,0
50,22,To improve quality or reliability of processes or methods,0,0
50,22,To expand the range of goods or services,0,0
50,22,To adopt standards and accreditation,0,0
50,22,Some other reason,0,0
53,22,To automate tasks performed by labor,0,0
53,22,To upgrade outdated processes or methods,0,0
53,22,To improve quality or reliability of processes or methods,0,0
53,22,To expand the range of goods or services,0,0
53,22,To adopt standards and accreditation,0,0
53,22,Some other reason,0,0
51,22,To automate tasks performed by labor,0,0
51,22,To adopt standards and accreditation,0,0
51,22,To upgrade outdated processes or methods,0,0
51,22,To improve quality or reliability of processes or methods,0,0
51,22,To expand the range of goods or services,0,0
51,22,Some other reason,0,0
54,22,To automate tasks performed by labor,0,0
54,22,To upgrade outdated processes or methods,0,0
54,22,To improve quality or reliability of processes or methods,0,0
54,22,To expand the range of goods or services,0,0
54,22,To adopt standards and accreditation,0,0
54,22,Some other reason,0,0
55,22,To automate tasks performed by labor,0,0
55,22,To upgrade outdated processes or methods,0,0
55,22,To improve quality or reliability of processes or methods,0,0
55,22,To expand the range of goods or services,0,0
55,22,To adopt standards and accreditation,0,0
55,22,Some other reason,0,0
56,22,To automate tasks performed by labor,0,0
56,22,To upgrade outdated processes or methods,0,0
56,22,To improve quality or reliability of processes or methods,0,0
56,22,To expand the range of goods or services,0,0
56,22,To adopt standards and accreditation,0,0
56,22,Some other reason,0,0
01,23,To automate tasks performed by labor,0,0
01,23,To upgrade outdated processes or methods,0,0
01,23,To improve quality or reliability of processes or methods,0,0
01,23,To expand the range of goods or services,0,0
01,23,To adopt standards and accreditation,0,0
01,23,Some other reason,0,0
02,23,To expand the range of goods or services,0,0
02,23,To automate tasks performed by labor,0,0
02,23,To upgrade outdated processes or methods,0,0
02,23,To improve quality or reliability of processes or methods,0,0
02,23,To adopt standards and accreditation,0,0
02,23,Some other reason,0,0
04,23,To automate tasks performed by labor,0,0
04,23,To upgrade outdated processes or methods,0,0
04,23,To improve quality or reliability of processes or methods,0,0
04,23,To expand the range of goods or services,0,0
04,23,To adopt standards and accreditation,0,0
04,23,Some other reason,0,0
05,23,To automate tasks performed by labor,0,0
05,23,To upgrade outdated processes or methods,0,0
05,23,To improve quality or reliability of processes or methods,0,0
05,23,To expand the range of goods or services,0,0
05,23,To adopt standards and accreditation,0,0
05,23,Some other reason,0,0
06,23,To automate tasks performed by labor,604,6370
06,23,To upgrade outdated processes or methods,491,10052
06,23,To improve quality or reliability of processes or methods,727,11625
06,23,To expand the range of goods or services,0,0
06,23,To adopt standards and accreditation,0,0
06,23,Some other reason,0,0
08,23,To automate tasks performed by labor,0,0
08,23,To upgrade outdated processes or methods,0,0
08,23,To improve quality or reliability of processes or methods,0,0
08,23,To expand the range of goods or services,0,0
08,23,To adopt standards and accreditation,0,0
08,23,Some other reason,0,0
09,23,To automate tasks performed by labor,0,0
09,23,To upgrade outdated processes or methods,0,0
09,23,To improve quality or reliability of processes or methods,0,0
09,23,To expand the range of goods or services,0,0
09,23,To adopt standards and accreditation,0,0
09,23,Some other reason,0,0
10,23,To automate tasks performed by labor,0,0
10,23,To upgrade outdated processes or methods,0,0
10,23,To improve quality or reliability of processes or methods,0,0
10,23,To expand the range of goods or services,0,0
10,23,To adopt standards and accreditation,0,0
10,23,Some other reason,0,0
11,23,To automate tasks performed by labor,0,0
11,23,To upgrade outdated processes or methods,0,0
11,23,To improve quality or reliability of processes or methods,0,0
11,23,To expand the range of goods or services,0,0
11,23,To adopt standards and accreditation,0,0
11,23,Some other reason,0,0
12,23,To automate tasks performed by labor,0,0
12,23,To upgrade outdated processes or methods,216,3641
12,23,To improve quality or reliability of processes or methods,212,5033
12,23,To expand the range of goods or services,0,0
12,23,To adopt standards and accreditation,0,0
12,23,Some other reason,0,0
13,23,To automate tasks performed by labor,0,0
13,23,To adopt standards and accreditation,0,0
13,23,To upgrade outdated processes or methods,0,0
13,23,To improve quality or reliability of processes or methods,0,0
13,23,To expand the range of goods or services,0,0
13,23,Some other reason,0,0
15,23,To automate tasks performed by labor,0,0
15,23,To upgrade outdated processes or methods,0,0
15,23,To improve quality or reliability of processes or methods,0,0
15,23,To expand the range of goods or services,0,0
15,23,To adopt standards and accreditation,0,0
15,23,Some other reason,0,0
16,23,To automate tasks performed by labor,0,0
16,23,To upgrade outdated processes or methods,0,0
16,23,To improve quality or reliability of processes or methods,0,0
16,23,To expand the range of goods or services,0,0
16,23,To adopt standards and accreditation,0,0
16,23,Some other reason,0,0
17,23,To automate tasks performed by labor,0,0
17,23,To upgrade outdated processes or methods,0,0
17,23,To improve quality or reliability of processes or methods,0,0
17,23,To expand the range of goods or services,0,0
17,23,To adopt standards and accreditation,0,0
17,23,Some other reason,0,0
18,23,To automate tasks performed by labor,0,0
18,23,To upgrade outdated processes or methods,0,0
18,23,To improve quality or reliability of processes or methods,0,0
18,23,To expand the range of goods or services,0,0
18,23,To adopt standards and accreditation,0,0
18,23,Some other reason,0,0
19,23,To automate tasks performed by labor,0,0
19,23,To adopt standards and accreditation,0,0
19,23,To upgrade outdated processes or methods,0,0
19,23,To improve quality or reliability of processes or methods,0,0
19,23,To expand the range of goods or services,0,0
19,23,Some other reason,0,0
20,23,To automate tasks performed by labor,0,0
20,23,To upgrade outdated processes or methods,0,0
20,23,To improve quality or reliability of processes or methods,0,0
20,23,To expand the range of goods or services,0,0
20,23,To adopt standards and accreditation,0,0
20,23,Some other reason,0,0
21,23,To automate tasks performed by labor,0,0
21,23,To upgrade outdated processes or methods,0,0
21,23,To improve quality or reliability of processes or methods,0,0
21,23,To expand the range of goods or services,0,0
21,23,To adopt standards and accreditation,0,0
21,23,Some other reason,0,0
22,23,To automate tasks performed by labor,0,0
22,23,To upgrade outdated processes or methods,0,0
22,23,To improve quality or reliability of processes or methods,0,0
22,23,To expand the range of goods or services,0,0
22,23,To adopt standards and accreditation,0,0
22,23,Some other reason,0,0
24,23,To improve quality or reliability of processes or methods,0,0
24,23,To automate tasks performed by labor,0,0
24,23,To upgrade outdated processes or methods,0,0
24,23,To expand the range of goods or services,0,0
24,23,To adopt standards and accreditation,0,0
24,23,Some other reason,0,0
23,23,To automate tasks performed by labor,0,0
23,23,To upgrade outdated processes or methods,0,0
23,23,To improve quality or reliability of processes or methods,0,0
23,23,To expand the range of goods or services,0,0
23,23,To adopt standards and accreditation,0,0
23,23,Some other reason,0,0
25,23,To automate tasks performed by labor,0,0
25,23,To upgrade outdated processes or methods,0,0
25,23,To improve quality or reliability of processes or methods,0,0
25,23,To expand the range of goods or services,0,0
25,23,To adopt standards and accreditation,0,0
25,23,Some other reason,0,0
26,23,To automate tasks performed by labor,0,0
26,23,To adopt standards and accreditation,0,0
26,23,To upgrade outdated processes or methods,0,0
26,23,To improve quality or reliability of processes or methods,0,0
26,23,To expand the range of goods or services,0,0
26,23,Some other reason,0,0
27,23,To automate tasks performed by labor,0,0
27,23,To upgrade outdated processes or methods,0,0
27,23,To improve quality or reliability of processes or methods,0,0
27,23,To expand the range of goods or services,0,0
27,23,To adopt standards and accreditation,0,0
27,23,Some other reason,0,0
28,23,To automate tasks performed by labor,0,0
28,23,To upgrade outdated processes or methods,0,0
28,23,To improve quality or reliability of processes or methods,0,0
28,23,To expand the range of goods or services,0,0
28,23,To adopt standards and accreditation,0,0
28,23,Some other reason,0,0
29,23,To automate tasks performed by labor,0,0
29,23,To upgrade outdated processes or methods,0,0
29,23,To improve quality or reliability of processes or methods,0,0
29,23,To expand the range of goods or services,0,0
29,23,To adopt standards and accreditation,0,0
29,23,Some other reason,0,0
30,23,To automate tasks performed by labor,0,0
30,23,To upgrade outdated processes or methods,0,0
30,23,To improve quality or reliability of processes or methods,0,0
30,23,To expand the range of goods or services,0,0
30,23,To adopt standards and accreditation,0,0
30,23,Some other reason,0,0
31,23,To automate tasks performed by labor,0,0
31,23,To upgrade outdated processes or methods,0,0
31,23,To improve quality or reliability of processes or methods,0,0
31,23,To expand the range of goods or services,0,0
31,23,To adopt standards and accreditation,0,0
31,23,Some other reason,0,0
32,23,To automate tasks performed by labor,0,0
32,23,To upgrade outdated processes or methods,0,0
32,23,To improve quality or reliability of processes or methods,0,0
32,23,To expand the range of goods or services,0,0
32,23,To adopt standards and accreditation,0,0
32,23,Some other reason,0,0
34,23,To automate tasks performed by labor,0,0
34,23,To upgrade outdated processes or methods,0,0
34,23,To improve quality or reliability of processes or methods,0,0
34,23,To expand the range of goods or services,0,0
34,23,To adopt standards and accreditation,0,0
34,23,Some other reason,0,0
33,23,To automate tasks performed by labor,0,0
33,23,To upgrade outdated processes or methods,0,0
33,23,To improve quality or reliability of processes or methods,0,0
33,23,To expand the range of goods or services,0,0
33,23,To adopt standards and accreditation,0,0
33,23,Some other reason,0,0
35,23,To automate tasks performed by labor,0,0
35,23,To upgrade outdated processes or methods,0,0
35,23,To improve quality or reliability of processes or methods,0,0
35,23,To expand the range of goods or services,0,0
35,23,To adopt standards and accreditation,0,0
35,23,Some other reason,0,0
36,23,To automate tasks performed by labor,0,0
36,23,To upgrade outdated processes or methods,0,0
36,23,Some other reason,0,0
36,23,To improve quality or reliability of processes or methods,0,0
36,23,To expand the range of goods or services,0,0
36,23,To adopt standards and accreditation,0,0
37,23,To automate tasks performed by labor,0,0
37,23,To upgrade outdated processes or methods,0,0
37,23,To improve quality or reliability of processes or methods,168,5938
37,23,To expand the range of goods or services,0,0
37,23,To adopt standards and accreditation,0,0
37,23,Some other reason,0,0
38,23,To automate tasks performed by labor,0,0
38,23,To upgrade outdated processes or methods,0,0
38,23,To improve quality or reliability of processes or methods,0,0
38,23,To expand the range of goods or services,0,0
38,23,To adopt standards and accreditation,0,0
38,23,Some other reason,0,0
39,23,To automate tasks performed by labor,0,0
39,23,To adopt standards and accreditation,0,0
39,23,To upgrade outdated processes or methods,0,0
39,23,To improve quality or reliability of processes or methods,305,12904
39,23,To expand the range of goods or services,0,0
39,23,Some other reason,0,0
40,23,To automate tasks performed by labor,0,0
40,23,To upgrade outdated processes or methods,0,0
40,23,To improve quality or reliability of processes or methods,0,0
40,23,To expand the range of goods or services,0,0
40,23,To adopt standards and accreditation,0,0
40,23,Some other reason,0,0
41,23,To automate tasks performed by labor,0,0
41,23,To upgrade outdated processes or methods,0,0
41,23,To improve quality or reliability of processes or methods,0,0
41,23,To expand the range of goods or services,0,0
41,23,To adopt standards and accreditation,0,0
41,23,Some other reason,0,0
42,23,To automate tasks performed by labor,0,0
42,23,To upgrade outdated processes or methods,0,0
42,23,To improve quality or reliability of processes or methods,0,0
42,23,To expand the range of goods or services,0,0
42,23,To adopt standards and accreditation,0,0
42,23,Some other reason,0,0
45,23,To automate tasks performed by labor,0,0
45,23,To upgrade outdated processes or methods,0,0
45,23,To improve quality or reliability of processes or methods,0,0
45,23,To expand the range of goods or services,0,0
45,23,To adopt standards and accreditation,0,0
45,23,Some other reason,0,0
44,23,To automate tasks performed by labor,0,0
44,23,To upgrade outdated processes or methods,0,0
44,23,To improve quality or reliability of processes or methods,0,0
44,23,To expand the range of goods or services,0,0
44,23,To adopt standards and accreditation,0,0
44,23,Some other reason,0,0
46,23,To automate tasks performed by labor,0,0
46,23,To upgrade outdated processes or methods,0,0
46,23,To improve quality or reliability of processes or methods,0,0
46,23,To expand the range of goods or services,0,0
46,23,To adopt standards and accreditation,0,0
46,23,Some other reason,0,0
47,23,To automate tasks performed by labor,0,0
47,23,To upgrade outdated processes or methods,0,0
47,23,To improve quality or reliability of processes or methods,0,0
47,23,To expand the range of goods or services,0,0
47,23,To adopt standards and accreditation,0,0
47,23,Some other reason,0,0
48,23,To automate tasks performed by labor,294,5330
48,23,To upgrade outdated processes or methods,230,7785
48,23,To improve quality or reliability of processes or methods,223,6520
48,23,To expand the range of goods or services,0,0
48,23,To adopt standards and accreditation,0,0
48,23,Some other reason,0,0
49,23,To automate tasks performed by labor,0,0
49,23,To adopt standards and accreditation,0,0
49,23,To upgrade outdated processes or methods,0,0
49,23,To improve quality or reliability of processes or methods,0,0
49,23,To expand the range of goods or services,0,0
49,23,Some other reason,0,0
50,23,To automate tasks performed by labor,0,0
50,23,To upgrade outdated processes or methods,0,0
50,23,To improve quality or reliability of processes or methods,0,0
50,23,To expand the range of goods or services,0,0
50,23,To adopt standards and accreditation,0,0
50,23,Some other reason,0,0
53,23,To upgrade outdated processes or methods,0,0
53,23,To automate tasks performed by labor,0,0
53,23,To improve quality or reliability of processes or methods,0,0
53,23,To expand the range of goods or services,0,0
53,23,To adopt standards and accreditation,0,0
53,23,Some other reason,0,0
51,23,To automate tasks performed by labor,0,0
51,23,To upgrade outdated processes or methods,0,0
51,23,To improve quality or reliability of processes or methods,0,0
51,23,To expand the range of goods or services,0,0
51,23,To adopt standards and accreditation,0,0
51,23,Some other reason,0,0
54,23,To automate tasks performed by labor,0,0
54,23,To upgrade outdated processes or methods,0,0
54,23,To improve quality or reliability of processes or methods,0,0
54,23,To expand the range of goods or services,0,0
54,23,To adopt standards and accreditation,0,0
54,23,Some other reason,0,0
55,23,To automate tasks performed by labor,0,0
55,23,To upgrade outdated processes or methods,0,0
55,23,To improve quality or reliability of processes or methods,0,0
55,23,To expand the range of goods or services,0,0
55,23,To adopt standards and accreditation,0,0
55,23,Some other reason,0,0
56,23,To automate tasks performed by labor,0,0
56,23,To upgrade outdated processes or methods,0,0
56,23,To improve quality or reliability of processes or methods,0,0
56,23,To expand the range of goods or services,0,0
56,23,To adopt standards and accreditation,0,0
56,23,Some other reason,0,0
01,31-33,To automate tasks performed by labor,54,26208
01,31-33,To upgrade outdated processes or methods,61,30976
01,31-33,To improve quality or reliability of processes or methods,79,32613
01,31-33,To expand the range of goods or services,18,9788
01,31-33,To adopt standards and accreditation,0,0
01,31-33,Some other reason,0,0
02,31-33,To automate tasks performed by labor,0,0
02,31-33,To upgrade outdated processes or methods,0,0
02,31-33,To improve quality or reliability of processes or methods,0,0
02,31-33,To expand the range of goods or services,0,0
02,31-33,To adopt standards and accreditation,0,0
02,31-33,Some other reason,0,0
04,31-33,To automate tasks performed by labor,45,30873
04,31-33,To upgrade outdated processes or methods,48,29697
04,31-33,To improve quality or reliability of processes or methods,60,36365
04,31-33,To expand the range of goods or services,25,34192
04,31-33,To adopt standards and accreditation,0,0
04,31-33,Some other reason,0,0
05,31-33,To automate tasks performed by labor,53,21866
05,31-33,To upgrade outdated processes or methods,56,22478
05,31-33,To improve quality or reliability of processes or methods,66,25306
05,31-33,To expand the range of goods or services,20,12363
05,31-33,To adopt standards and accreditation,0,0
05,31-33,Some other reason,0,0
06,31-33,To upgrade outdated processes or methods,478,94705
06,31-33,To automate tasks performed by labor,497,107594
06,31-33,To improve quality or reliability of processes or methods,534,96995
06,31-33,To expand the range of goods or services,324,64764
06,31-33,To adopt standards and accreditation,106,29993
06,31-33,Some other reason,94,15383
08,31-33,To automate tasks performed by labor,89,8046
08,31-33,To adopt standards and accreditation,0,0
08,31-33,To upgrade outdated processes or methods,55,8490
08,31-33,To improve quality or reliability of processes or methods,68,8127
08,31-33,To expand the range of goods or services,27,2337
08,31-33,Some other reason,0,0
09,31-33,To automate tasks performed by labor,27,4282
09,31-33,To upgrade outdated processes or methods,0,0
09,31-33,To improve quality or reliability of processes or methods,34,4985
09,31-33,To expand the range of goods or services,0,0
09,31-33,To adopt standards and accreditation,0,0
09,31-33,Some other reason,0,0
10,31-33,To automate tasks performed by labor,0,0
10,31-33,To expand the range of goods or services,0,0
10,31-33,To upgrade outdated processes or methods,0,0
10,31-33,To improve quality or reliability of processes or methods,75,7501
10,31-33,To adopt standards and accreditation,0,0
10,31-33,Some other reason,0,0
11,31-33,To automate tasks performed by labor,0,0
11,31-33,To upgrade outdated processes or methods,0,0
11,31-33,To improve quality or reliability of processes or methods,0,0
11,31-33,To expand the range of goods or services,0,0
11,31-33,To adopt standards and accreditation,0,0
11,31-33,Some other reason,0,0
12,31-33,To automate tasks performed by labor,135,29710
12,31-33,To upgrade outdated processes or methods,164,27287
12,31-33,To improve quality or reliability of processes or methods,182,31554
12,31-33,To expand the range of goods or services,109,20047
12,31-33,To adopt standards and accreditation,25,2088
12,31-33,Some other reason,59,6730
13,31-33,To expand the range of goods or services,86,20925
13,31-33,To adopt standards and accreditation,37,3409
13,31-33,Some other reason,33,8998
13,31-33,To automate tasks performed by labor,96,45221
13,31-33,To upgrade outdated processes or methods,156,47406
13,31-33,To improve quality or reliability of processes or methods,172,56787
15,31-33,To automate tasks performed by labor,0,0
15,31-33,To upgrade outdated processes or methods,0,0
15,31-33,To improve quality or reliability of processes or methods,0,0
15,31-33,To expand the range of goods or services,0,0
15,31-33,To adopt standards and accreditation,0,0
15,31-33,Some other reason,0,0
16,31-33,To automate tasks performed by labor,26,2803
16,31-33,To upgrade outdated processes or methods,15,4010
16,31-33,Some other reason,0,0
16,31-33,To improve quality or reliability of processes or methods,0,0
16,31-33,To expand the range of goods or services,0,0
16,31-33,To adopt standards and accreditation,0,0
17,31-33,To automate tasks performed by labor,129,70422
17,31-33,To upgrade outdated processes or methods,135,71228
17,31-33,To improve quality or reliability of processes or methods,210,79891
17,31-33,To expand the range of goods or services,35,22631
17,31-33,To adopt standards and accreditation,0,0
17,31-33,Some other reason,69,10813
18,31-33,To upgrade outdated processes or methods,122,55511
18,31-33,To automate tasks performed by labor,78,72461
18,31-33,To improve quality or reliability of processes or methods,140,62074
18,31-33,To expand the range of goods or services,116,26128
18,31-33,To adopt standards and accreditation,0,0
18,31-33,Some other reason,0,0
19,31-33,To automate tasks performed by labor,82,45588
19,31-33,To upgrade outdated processes or methods,103,46727
19,31-33,To improve quality or reliability of processes or methods,155,64329
19,31-33,To expand the range of goods or services,49,29244
19,31-33,To adopt standards and accreditation,0,0
19,31-33,Some other reason,0,0
20,31-33,To automate tasks performed by labor,29,14504
20,31-33,To upgrade outdated processes or methods,34,13659
20,31-33,To improve quality or reliability of processes or methods,35,14168
20,31-33,To expand the range of goods or services,0,0
20,31-33,To adopt standards and accreditation,0,0
20,31-33,Some other reason,0,0
21,31-33,To automate tasks performed by labor,112,43810
21,31-33,To upgrade outdated processes or methods,117,38388
21,31-33,To improve quality or reliability of processes or methods,114,43223
21,31-33,To expand the range of goods or services,22,29578
21,31-33,To adopt standards and accreditation,0,0
21,31-33,Some other reason,0,0
22,31-33,To automate tasks performed by labor,26,12938
22,31-33,To upgrade outdated processes or methods,40,16470
22,31-33,To improve quality or reliability of processes or methods,46,14052
22,31-33,To expand the range of goods or services,24,12918
22,31-33,To adopt standards and accreditation,0,0
22,31-33,Some other reason,0,0
24,31-33,To automate tasks performed by labor,20,3309
24,31-33,To upgrade outdated processes or methods,29,3682
24,31-33,To improve quality or reliability of processes or methods,48,9210
24,31-33,To expand the range of goods or services,26,6905
24,31-33,To adopt standards and accreditation,0,0
24,31-33,Some other reason,0,0
23,31-33,To automate tasks performed by labor,0,0
23,31-33,To upgrade outdated processes or methods,0,0
23,31-33,To improve quality or reliability of processes or methods,0,0
23,31-33,To expand the range of goods or services,0,0
23,31-33,To adopt standards and accreditation,0,0
23,31-33,Some other reason,0,0
25,31-33,To automate tasks performed by labor,54,16540
25,31-33,To upgrade outdated processes or methods,67,17185
25,31-33,To improve quality or reliability of processes or methods,82,22486
25,31-33,To expand the range of goods or services,47,13559
25,31-33,To adopt standards and accreditation,0,0
25,31-33,Some other reason,0,0
26,31-33,To automate tasks performed by labor,138,76219
26,31-33,To upgrade outdated processes or methods,155,76469
26,31-33,To improve quality or reliability of processes or methods,379,104046
26,31-33,To expand the range of goods or services,158,55122
26,31-33,To adopt standards and accreditation,0,0
26,31-33,Some other reason,0,0
27,31-33,To automate tasks performed by labor,223,36081
27,31-33,To upgrade outdated processes or methods,122,38426
27,31-33,To improve quality or reliability of processes or methods,234,39170
27,31-33,To expand the range of goods or services,141,21680
27,31-33,To adopt standards and accreditation,130,13223
27,31-33,Some other reason,0,0
