state,NAICS2017,barrier,n_firms,n_emp
29,31-33,Lacked access to required human capital and talent,137,50644
29,31-33,Laws and regulations,0,0
29,31-33,Concerns regarding safety and security (physical security and/or cyber security),101,42184
29,31-33,Lacked access to capital,68,24369
29,31-33,Technology not applicable to this business,1661,71349
29,31-33,No factors adversely affected the adoption of this technology,2095,107163
30,31-33,Technology was too expensive,106,3554
30,31-33,Technology was not mature,0,0
30,31-33,Lacked access to required data,0,0
30,31-33,Required data not reliable,0,0
30,31-33,Lacked access to required human capital and talent,29,1353
30,31-33,Laws and regulations,0,0
30,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
30,31-33,Lacked access to capital,32,1055
30,31-33,Technology not applicable to this business,642,6268
30,31-33,No factors adversely affected the adoption of this technology,373,6567
31,31-33,Technology was too expensive,202,18942
31,31-33,Technology was not mature,29,13142
31,31-33,Lacked access to required data,0,0
31,31-33,Required data not reliable,0,0
31,31-33,Lacked access to required human capital and talent,56,11442
31,31-33,Laws and regulations,0,0
31,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
31,31-33,Lacked access to capital,21,3208
31,31-33,Technology not applicable to this business,0,0
31,31-33,No factors adversely affected the adoption of this technology,652,45654
32,31-33,Technology was too expensive,143,4974
32,31-33,Technology was not mature,54,4178
32,31-33,Lacked access to required data,0,0
32,31-33,Required data not reliable,0,0
32,31-33,Lacked access to required human capital and talent,27,2087
32,31-33,Laws and regulations,0,0
32,31-33,Concerns regarding safety and security (physical security and/or cyber security),21,1238
32,31-33,Lacked access to capital,26,604
32,31-33,Technology not applicable to this business,490,17293
32,31-33,No factors adversely affected the adoption of this technology,620,15046
34,31-33,Technology was too expensive,990,34555
34,31-33,Technology was not mature,160,21597
34,31-33,Lacked access to required data,220,18326
34,31-33,Required data not reliable,41,6730
34,31-33,Lacked access to required human capital and talent,251,16286
34,31-33,Laws and regulations,0,0
34,31-33,Concerns regarding safety and security (physical security and/or cyber security),76,10619
34,31-33,Lacked access to capital,156,6600
34,31-33,Technology not applicable to this business,2608,62405
34,31-33,No factors adversely affected the adoption of this technology,1985,62188
33,31-33,Technology was too expensive,198,9112
33,31-33,Technology was not mature,91,13457
33,31-33,Lacked access to required data,0,0
33,31-33,Required data not reliable,0,0
33,31-33,Lacked access to required human capital and talent,31,9151
33,31-33,Laws and regulations,0,0
33,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
33,31-33,Lacked access to capital,0,0
33,31-33,Technology not applicable to this business,674,15430
33,31-33,No factors adversely affected the adoption of this technology,593,21257
35,31-33,Technology was too expensive,103,3467
35,31-33,Technology was not mature,21,1039
35,31-33,Lacked access to required data,0,0
35,31-33,Required data not reliable,0,0
35,31-33,Lacked access to required human capital and talent,24,2126
35,31-33,Laws and regulations,0,0
35,31-33,Concerns regarding safety and security (physical security and/or cyber security),30,1098
35,31-33,Lacked access to capital,31,369
35,31-33,Technology not applicable to this business,594,6840
35,31-33,No factors adversely affected the adoption of this technology,470,10111
36,31-33,Technology was too expensive,1275,55022
36,31-33,Technology was not mature,270,36455
36,31-33,Lacked access to required data,88,10869
36,31-33,Required data not reliable,128,20331
36,31-33,Lacked access to required human capital and talent,256,26169
36,31-33,Laws and regulations,66,5491
36,31-33,Concerns regarding safety and security (physical security and/or cyber security),101,15213
36,31-33,Lacked access to capital,323,23035
36,31-33,Technology not applicable to this business,5155,99569
36,31-33,No factors adversely affected the adoption of this technology,4479,137306
37,31-33,Technology was too expensive,1000,57628
37,31-33,Lacked access to required human capital and talent,310,52377
37,31-33,Technology was not mature,281,53122
37,31-33,Lacked access to required data,58,17036
37,31-33,Required data not reliable,70,26426
37,31-33,Laws and regulations,0,0
37,31-33,Concerns regarding safety and security (physical security and/or cyber security),157,28501
37,31-33,Lacked access to capital,147,11165
37,31-33,Technology not applicable to this business,3115,120231
37,31-33,No factors adversely affected the adoption of this technology,2803,252594
38,31-33,Technology was too expensive,121,3542
38,31-33,Technology was not mature,32,2817
38,31-33,Lacked access to required data,0,0
38,31-33,Required data not reliable,0,0
38,31-33,Lacked access to capital,0,0
38,31-33,Lacked access to required human capital and talent,0,0
38,31-33,Laws and regulations,0,0
38,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
38,31-33,Technology not applicable to this business,214,8896
38,31-33,No factors adversely affected the adoption of this technology,254,8377
39,31-33,Technology was too expensive,1260,95511
39,31-33,Technology was not mature,274,90554
39,31-33,Lacked access to required data,126,29053
39,31-33,Required data not reliable,43,33192
39,31-33,Lacked access to required human capital and talent,491,97488
39,31-33,Laws and regulations,86,19310
39,31-33,No factors adversely affected the adoption of this technology,4912,276235
39,31-33,Concerns regarding safety and security (physical security and/or cyber security),123,47460
39,31-33,Lacked access to capital,408,47163
39,31-33,Technology not applicable to this business,4791,149786
40,31-33,Required data not reliable,29,5128
40,31-33,Technology was too expensive,401,14995
40,31-33,Technology was not mature,105,14601
40,31-33,Lacked access to required data,46,3209
40,31-33,Lacked access to required human capital and talent,105,11726
40,31-33,Laws and regulations,0,0
40,31-33,Concerns regarding safety and security (physical security and/or cyber security),60,6392
40,31-33,Lacked access to capital,83,3844
40,31-33,Technology not applicable to this business,1139,37900
40,31-33,No factors adversely affected the adoption of this technology,1229,54040
41,31-33,Technology was too expensive,506,22661
41,31-33,Technology was not mature,138,17049
41,31-33,Lacked access to required data,63,7263
41,31-33,Required data not reliable,54,7768
41,31-33,Lacked access to required human capital and talent,90,10667
41,31-33,Laws and regulations,0,0
41,31-33,Concerns regarding safety and security (physical security and/or cyber security),36,6276
41,31-33,Lacked access to capital,144,7464
41,31-33,Technology not applicable to this business,2350,60642
41,31-33,No factors adversely affected the adoption of this technology,1724,60546
42,31-33,Technology was too expensive,1351,86137
42,31-33,Technology was not mature,339,72453
42,31-33,Lacked access to required data,58,31679
42,31-33,Required data not reliable,58,20607
42,31-33,Lacked access to required human capital and talent,182,34020
42,31-33,Laws and regulations,49,15470
42,31-33,Concerns regarding safety and security (physical security and/or cyber security),86,26194
42,31-33,Lacked access to capital,348,30006
42,31-33,Technology not applicable to this business,4536,128446
42,31-33,No factors adversely affected the adoption of this technology,4636,201990
45,31-33,Technology was too expensive,387,37029
45,31-33,Technology was not mature,193,36899
45,31-33,Lacked access to required data,31,21228
45,31-33,Required data not reliable,87,23949
45,31-33,Lacked access to required human capital and talent,116,22699
45,31-33,Laws and regulations,0,0
45,31-33,Concerns regarding safety and security (physical security and/or cyber security),48,18212
45,31-33,Lacked access to capital,131,23378
45,31-33,Technology not applicable to this business,1594,90504
45,31-33,No factors adversely affected the adoption of this technology,1308,102855
44,31-33,Required data not reliable,0,0
44,31-33,Technology was too expensive,117,4749
44,31-33,Technology was not mature,38,3328
44,31-33,Lacked access to required data,0,0
44,31-33,Lacked access to required human capital and talent,41,2770
44,31-33,Laws and regulations,0,0
44,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
44,31-33,Lacked access to capital,0,0
44,31-33,Technology not applicable to this business,413,10328
44,31-33,No factors adversely affected the adoption of this technology,309,11168
46,31-33,Technology was too expensive,139,9274
46,31-33,Technology was not mature,26,4486
46,31-33,Lacked access to required data,0,0
46,31-33,Required data not reliable,0,0
46,31-33,Lacked access to required human capital and talent,37,4870
46,31-33,Laws and regulations,0,0
46,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
46,31-33,Lacked access to capital,58,3594
46,31-33,Technology not applicable to this business,341,13916
46,31-33,No factors adversely affected the adoption of this technology,302,16599
47,31-33,Technology was too expensive,526,52663
47,31-33,Technology was not mature,153,45629
47,31-33,Lacked access to required data,88,15675
47,31-33,Required data not reliable,50,20499
47,31-33,Lacked access to required human capital and talent,175,34224
47,31-33,Laws and regulations,0,0
47,31-33,Concerns regarding safety and security (physical security and/or cyber security),51,18714
47,31-33,Lacked access to capital,63,5109
47,31-33,Technology not applicable to this business,2035,69702
47,31-33,No factors adversely affected the adoption of this technology,1819,138858
48,31-33,Technology was too expensive,1930,128016
48,31-33,Technology was not mature,483,110841
48,31-33,Lacked access to required data,240,43397
48,31-33,Required data not reliable,121,55674
48,31-33,Lacked access to required human capital and talent,509,80639
48,31-33,Laws and regulations,133,17173
48,31-33,No factors adversely affected the adoption of this technology,6010,312917
48,31-33,Concerns regarding safety and security (physical security and/or cyber security),168,48946
48,31-33,Lacked access to capital,526,40706
48,31-33,Technology not applicable to this business,6145,206456
49,31-33,Technology was too expensive,271,15832
49,31-33,Technology was not mature,109,21576
49,31-33,Lacked access to required data,32,8716
49,31-33,Required data not reliable,17,7613
49,31-33,Lacked access to capital,90,3588
49,31-33,Lacked access to required human capital and talent,50,8858
49,31-33,Laws and regulations,0,0
49,31-33,Concerns regarding safety and security (physical security and/or cyber security),43,7180
49,31-33,Technology not applicable to this business,1412,41744
49,31-33,No factors adversely affected the adoption of this technology,1191,37320
50,31-33,Technology was too expensive,87,1916
50,31-33,Technology was not mature,0,0
50,31-33,Lacked access to required data,0,0
50,31-33,Required data not reliable,0,0
50,31-33,Lacked access to required human capital and talent,23,1518
50,31-33,Laws and regulations,0,0
50,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
50,31-33,Lacked access to capital,0,0
50,31-33,Technology not applicable to this business,400,4109
50,31-33,No factors adversely affected the adoption of this technology,297,9098
53,31-33,Technology was too expensive,578,128097
53,31-33,Technology was not mature,181,124105
53,31-33,Lacked access to required data,90,116514
53,31-33,Required data not reliable,50,106570
53,31-33,Lacked access to required human capital and talent,165,124556
53,31-33,Laws and regulations,0,0
53,31-33,Concerns regarding safety and security (physical security and/or cyber security),70,116253
53,31-33,Lacked access to capital,151,104624
53,31-33,Technology not applicable to this business,2783,155065
53,31-33,No factors adversely affected the adoption of this technology,2293,75092
51,31-33,Technology was not mature,192,29526
51,31-33,Technology was too expensive,497,41995
51,31-33,Lacked access to required data,58,12296
51,31-33,Required data not reliable,46,13621
51,31-33,Lacked access to required human capital and talent,219,30022
51,31-33,Laws and regulations,0,0
51,31-33,Concerns regarding safety and security (physical security and/or cyber security),115,17083
51,31-33,Lacked access to capital,134,6544
51,31-33,Technology not applicable to this business,1635,64745
51,31-33,No factors adversely affected the adoption of this technology,1934,88653
54,31-33,Technology was too expensive,89,3697
54,31-33,Technology was not mature,19,2909
54,31-33,Laws and regulations,0,0
54,31-33,Lacked access to required data,0,0
54,31-33,Required data not reliable,0,0
54,31-33,Lacked access to required human capital and talent,19,1464
54,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
54,31-33,Lacked access to capital,87,4997
54,31-33,Technology not applicable to this business,415,10472
54,31-33,No factors adversely affected the adoption of this technology,378,25154
55,31-33,Technology was too expensive,1090,88636
55,31-33,Technology was not mature,251,58871
55,31-33,Lacked access to required data,71,13449
55,31-33,Required data not reliable,71,9242
55,31-33,Lacked access to capital,299,26236
55,31-33,Lacked access to required human capital and talent,293,49259
55,31-33,Laws and regulations,0,0
55,31-33,Concerns regarding safety and security (physical security and/or cyber security),150,11481
55,31-33,Technology not applicable to this business,3016,116310
55,31-33,No factors adversely affected the adoption of this technology,3171,201336
56,31-33,Technology was too expensive,33,2045
56,31-33,Technology was not mature,0,0
56,31-33,Lacked access to required data,0,0
56,31-33,Required data not reliable,0,0
56,31-33,Lacked access to required human capital and talent,0,0
56,31-33,Laws and regulations,0,0
56,31-33,No factors adversely affected the adoption of this technology,218,4611
56,31-33,Concerns regarding safety and security (physical security and/or cyber security),0,0
56,31-33,Lacked access to capital,0,0
56,31-33,Technology not applicable to this business,171,3068
01,42,Technology was not mature,118,4564
01,42,Technology was too expensive,297,4924
01,42,Lacked access to required data,123,3713
01,42,Required data not reliable,26,1023
01,42,Lacked access to required human capital and talent,192,7495
01,42,Laws and regulations,0,0
01,42,Concerns regarding safety and security (physical security and/or cyber security),33,1991
01,42,Lacked access to capital,0,0
01,42,Technology not applicable to this business,1525,21212
01,42,No factors adversely affected the adoption of this technology,1845,42406
02,42,Required data not reliable,0,0
02,42,Technology was too expensive,27,379
02,42,Technology was not mature,0,0
02,42,Lacked access to required data,0,0
02,42,Lacked access to required human capital and talent,0,0
02,42,Laws and regulations,0,0
02,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
02,42,Lacked access to capital,0,0
02,42,Technology not applicable to this business,0,0
02,42,No factors adversely affected the adoption of this technology,179,3570
04,42,Technology was too expensive,235,15594
04,42,Lacked access to required human capital and talent,118,2448
04,42,Technology was not mature,154,8253
04,42,Lacked access to required data,50,2585
04,42,Required data not reliable,34,1913
04,42,Laws and regulations,0,0
04,42,Concerns regarding safety and security (physical security and/or cyber security),95,2606
04,42,Lacked access to capital,75,1053
04,42,Technology not applicable to this business,1916,37107
04,42,No factors adversely affected the adoption of this technology,2058,30554
05,42,Technology was too expensive,143,1992
05,42,Lacked access to required human capital and talent,33,878
05,42,Technology was not mature,41,1223
05,42,Lacked access to required data,14,703
05,42,Required data not reliable,16,718
05,42,Laws and regulations,0,0
05,42,Concerns regarding safety and security (physical security and/or cyber security),29,1263
05,42,Lacked access to capital,34,271
05,42,Technology not applicable to this business,1285,14087
05,42,No factors adversely affected the adoption of this technology,1010,13445
06,42,Technology was too expensive,4644,83779
06,42,Lacked access to required human capital and talent,974,28035
06,42,Technology was not mature,1442,59142
06,42,Lacked access to required data,847,19137
06,42,Required data not reliable,486,21881
06,42,Laws and regulations,311,6035
06,42,Concerns regarding safety and security (physical security and/or cyber security),598,26687
06,42,Lacked access to capital,701,9590
06,42,Technology not applicable to this business,19947,238050
06,42,No factors adversely affected the adoption of this technology,15778,252212
08,42,Technology was too expensive,400,7365
08,42,Technology was not mature,91,6462
08,42,Lacked access to required data,47,1038
08,42,Required data not reliable,45,2067
08,42,Lacked access to required human capital and talent,56,2663
08,42,Laws and regulations,0,0
08,42,Concerns regarding safety and security (physical security and/or cyber security),37,3636
08,42,Lacked access to capital,133,2838
08,42,Technology not applicable to this business,2529,28142
08,42,No factors adversely affected the adoption of this technology,2498,39497
09,42,Technology was too expensive,193,5801
09,42,Technology was not mature,56,2813
09,42,Lacked access to required data,22,789
09,42,Required data not reliable,15,2071
09,42,Lacked access to required human capital and talent,43,1492
09,42,Laws and regulations,0,0
09,42,Concerns regarding safety and security (physical security and/or cyber security),23,1394
09,42,Lacked access to capital,0,0
09,42,Technology not applicable to this business,1298,16881
09,42,No factors adversely affected the adoption of this technology,1396,33294
10,42,Technology was too expensive,98,9614
10,42,Technology was not mature,21,9743
10,42,Laws and regulations,0,0
10,42,Lacked access to required data,0,0
10,42,Required data not reliable,0,0
10,42,Lacked access to required human capital and talent,0,0
10,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
10,42,Lacked access to capital,0,0
10,42,Technology not applicable to this business,306,4530
10,42,No factors adversely affected the adoption of this technology,391,3062
11,42,Technology was too expensive,34,502
11,42,Technology was not mature,0,0
11,42,Lacked access to required data,0,0
11,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
11,42,Required data not reliable,0,0
11,42,Lacked access to required human capital and talent,0,0
11,42,Laws and regulations,0,0
11,42,Lacked access to capital,0,0
11,42,Technology not applicable to this business,74,617
11,42,No factors adversely affected the adoption of this technology,54,909
12,42,Technology was too expensive,2261,26420
12,42,Technology was not mature,372,12675
12,42,Lacked access to required data,173,4552
12,42,Required data not reliable,124,5680
12,42,Lacked access to required human capital and talent,440,11479
12,42,Laws and regulations,14,1727
12,42,Concerns regarding safety and security (physical security and/or cyber security),127,5900
12,42,Lacked access to capital,305,1706
12,42,Technology not applicable to this business,10331,88872
12,42,No factors adversely affected the adoption of this technology,9459,123205
13,42,Technology was too expensive,696,19702
13,42,Lacked access to required human capital and talent,396,8956
13,42,Technology was not mature,366,15679
13,42,Lacked access to required data,174,5853
13,42,Required data not reliable,118,4390
13,42,Laws and regulations,0,0
13,42,Concerns regarding safety and security (physical security and/or cyber security),127,5426
13,42,Lacked access to capital,191,1144
13,42,Technology not applicable to this business,4002,58891
13,42,No factors adversely affected the adoption of this technology,4652,81740
15,42,Technology was too expensive,190,1497
15,42,Technology was not mature,0,0
15,42,Lacked access to required data,0,0
15,42,Required data not reliable,0,0
15,42,Lacked access to required human capital and talent,0,0
15,42,Laws and regulations,0,0
15,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
15,42,Lacked access to capital,0,0
15,42,Technology not applicable to this business,805,8273
15,42,No factors adversely affected the adoption of this technology,450,3363
16,42,Technology was too expensive,206,4221
16,42,Technology was not mature,65,1784
16,42,Lacked access to required data,0,0
16,42,Required data not reliable,0,0
16,42,Lacked access to required human capital and talent,21,533
16,42,Technology not applicable to this business,686,6184
16,42,Laws and regulations,0,0
16,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
16,42,Lacked access to capital,0,0
16,42,No factors adversely affected the adoption of this technology,584,17638
17,42,Technology was too expensive,809,25055
17,42,Technology was not mature,381,17753
17,42,Lacked access to required data,178,8182
17,42,Required data not reliable,156,9228
17,42,Lacked access to required human capital and talent,172,11279
17,42,Laws and regulations,97,3198
17,42,Concerns regarding safety and security (physical security and/or cyber security),34,8055
17,42,Lacked access to capital,111,1750
17,42,Technology not applicable to this business,4812,61274
17,42,No factors adversely affected the adoption of this technology,6313,138704
18,42,Required data not reliable,32,1775
18,42,Technology was too expensive,709,17884
18,42,Technology was not mature,232,12487
18,42,Lacked access to required data,27,1964
18,42,Lacked access to required human capital and talent,211,5927
18,42,Laws and regulations,0,0
18,42,Concerns regarding safety and security (physical security and/or cyber security),71,4246
18,42,Lacked access to capital,115,3998
18,42,Technology not applicable to this business,2438,34793
18,42,No factors adversely affected the adoption of this technology,2674,37553
19,42,Technology was too expensive,222,4725
19,42,Technology was not mature,107,4581
19,42,Lacked access to required data,20,931
19,42,Required data not reliable,0,0
19,42,Lacked access to required human capital and talent,42,3856
19,42,Laws and regulations,0,0
19,42,No factors adversely affected the adoption of this technology,1529,21704
19,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
19,42,Lacked access to capital,0,0
19,42,Technology not applicable to this business,1370,16650
20,42,Technology was too expensive,191,3599
20,42,Technology was not mature,57,3630
20,42,Lacked access to required data,29,638
20,42,Required data not reliable,20,1192
20,42,Lacked access to required human capital and talent,41,2244
20,42,Laws and regulations,0,0
20,42,Concerns regarding safety and security (physical security and/or cyber security),69,2399
20,42,Lacked access to capital,0,0
20,42,Technology not applicable to this business,0,0
20,42,No factors adversely affected the adoption of this technology,1174,21658
21,42,Technology was too expensive,487,17889
21,42,Technology was not mature,163,14163
21,42,Lacked access to required data,16,467
21,42,Required data not reliable,24,840
21,42,Lacked access to required human capital and talent,0,0
21,42,Laws and regulations,0,0
21,42,Concerns regarding safety and security (physical security and/or cyber security),69,1649
21,42,Lacked access to capital,0,0
21,42,Technology not applicable to this business,1343,19017
21,42,No factors adversely affected the adoption of this technology,1496,26244
22,42,Technology was too expensive,441,5502
22,42,Technology was not mature,55,2112
22,42,Lacked access to required data,26,873
22,42,Required data not reliable,19,1000
22,42,Lacked access to required human capital and talent,35,2210
22,42,Laws and regulations,0,0
22,42,Concerns regarding safety and security (physical security and/or cyber security),19,1315
22,42,Lacked access to capital,23,201
22,42,Technology not applicable to this business,1539,26809
22,42,No factors adversely affected the adoption of this technology,0,0
24,42,Technology was too expensive,266,7141
24,42,Technology was not mature,118,2336
24,42,Lacked access to required data,46,934
24,42,Concerns regarding safety and security (physical security and/or cyber security),34,2577
24,42,Required data not reliable,24,1209
24,42,Lacked access to required human capital and talent,55,1987
24,42,Laws and regulations,0,0
24,42,Lacked access to capital,0,0
24,42,Technology not applicable to this business,1872,24067
24,42,No factors adversely affected the adoption of this technology,1491,25322
23,42,Technology was too expensive,45,707
23,42,Technology was not mature,21,285
23,42,Laws and regulations,0,0
23,42,Lacked access to required data,0,0
23,42,Required data not reliable,0,0
23,42,Lacked access to required human capital and talent,18,1966
23,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
23,42,Lacked access to capital,0,0
23,42,Technology not applicable to this business,390,4533
23,42,No factors adversely affected the adoption of this technology,589,4996
25,42,Technology was too expensive,452,14071
25,42,Technology was not mature,147,10185
25,42,Lacked access to required data,181,6076
25,42,Required data not reliable,78,4378
25,42,Lacked access to required human capital and talent,177,4444
25,42,Laws and regulations,0,0
25,42,Concerns regarding safety and security (physical security and/or cyber security),36,3911
25,42,Lacked access to capital,88,1763
25,42,Technology not applicable to this business,2289,58434
25,42,No factors adversely affected the adoption of this technology,2157,42914
26,42,Technology was too expensive,913,20853
26,42,Lacked access to required human capital and talent,186,10546
26,42,Technology was not mature,202,15076
26,42,Lacked access to required data,148,10172
26,42,Required data not reliable,111,6716
26,42,Laws and regulations,73,3488
26,42,Concerns regarding safety and security (physical security and/or cyber security),39,7497
26,42,Lacked access to capital,160,2898
26,42,Technology not applicable to this business,3446,32564
26,42,No factors adversely affected the adoption of this technology,4173,100061
27,42,Technology was too expensive,393,14265
27,42,Technology was not mature,123,9136
27,42,Lacked access to required data,31,3257
27,42,Required data not reliable,36,4148
27,42,Lacked access to required human capital and talent,115,3315
27,42,Laws and regulations,0,0
27,42,Concerns regarding safety and security (physical security and/or cyber security),92,4979
27,42,Lacked access to capital,136,968
27,42,Technology not applicable to this business,3142,52458
27,42,No factors adversely affected the adoption of this technology,2689,59039
28,42,Technology was too expensive,143,2856
28,42,Technology was not mature,38,712
28,42,Lacked access to required data,16,505
28,42,Required data not reliable,24,1055
28,42,Lacked access to capital,0,0
28,42,Lacked access to required human capital and talent,40,1238
28,42,Laws and regulations,0,0
28,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
28,42,Technology not applicable to this business,628,10139
28,42,No factors adversely affected the adoption of this technology,933,10289
29,42,Technology was too expensive,376,9839
29,42,Technology was not mature,117,5615
29,42,Lacked access to required data,89,920
29,42,Required data not reliable,31,917
29,42,Lacked access to required human capital and talent,137,2202
29,42,Laws and regulations,0,0
29,42,Concerns regarding safety and security (physical security and/or cyber security),85,2148
29,42,Lacked access to capital,83,957
29,42,Technology not applicable to this business,2183,42861
29,42,No factors adversely affected the adoption of this technology,2386,51221
30,42,Technology was too expensive,24,385
30,42,Technology was not mature,28,453
30,42,Lacked access to required data,0,0
30,42,Required data not reliable,0,0
30,42,Lacked access to required human capital and talent,29,585
30,42,Technology not applicable to this business,408,3854
30,42,Laws and regulations,0,0
30,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
30,42,Lacked access to capital,0,0
30,42,No factors adversely affected the adoption of this technology,546,5144
31,42,Required data not reliable,0,0
31,42,Technology was too expensive,118,2340
31,42,Technology was not mature,32,626
31,42,Lacked access to required data,0,0
31,42,Lacked access to required human capital and talent,34,1227
31,42,Laws and regulations,0,0
31,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
31,42,Lacked access to capital,0,0
31,42,Technology not applicable to this business,903,13105
31,42,No factors adversely affected the adoption of this technology,851,11964
32,42,Technology was too expensive,161,4140
32,42,Technology was not mature,90,3582
32,42,Lacked access to required data,0,0
32,42,Required data not reliable,0,0
32,42,Lacked access to required human capital and talent,32,1113
32,42,Laws and regulations,0,0
32,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
32,42,Lacked access to capital,0,0
32,42,Technology not applicable to this business,876,11716
32,42,No factors adversely affected the adoption of this technology,1101,11681
34,42,Technology was too expensive,1164,22789
34,42,Technology was not mature,264,14989
34,42,Lacked access to required data,59,4965
34,42,Required data not reliable,152,5441
34,42,Lacked access to required human capital and talent,207,5310
34,42,Technology not applicable to this business,4618,86019
34,42,Laws and regulations,0,0
34,42,Concerns regarding safety and security (physical security and/or cyber security),24,2531
34,42,Lacked access to capital,250,3704
34,42,No factors adversely affected the adoption of this technology,4695,103267
33,42,Technology was too expensive,188,2085
33,42,Technology was not mature,40,1191
33,42,Lacked access to required data,0,0
33,42,Required data not reliable,18,687
33,42,Lacked access to required human capital and talent,73,823
33,42,Laws and regulations,0,0
33,42,Concerns regarding safety and security (physical security and/or cyber security),18,1122
33,42,Lacked access to capital,0,0
33,42,Technology not applicable to this business,1040,10285
33,42,No factors adversely affected the adoption of this technology,424,7133
35,42,Technology was too expensive,74,1497
35,42,Technology was not mature,49,1232
35,42,Lacked access to required data,0,0
35,42,Required data not reliable,0,0
35,42,Lacked access to required human capital and talent,0,0
35,42,Laws and regulations,0,0
35,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
35,42,Lacked access to capital,0,0
35,42,Technology not applicable to this business,584,6151
35,42,No factors adversely affected the adoption of this technology,577,7617
36,42,Technology was too expensive,1226,29462
36,42,Lacked access to required human capital and talent,194,12429
36,42,Technology was not mature,378,13892
36,42,Lacked access to required data,414,5353
36,42,Required data not reliable,69,8819
36,42,Laws and regulations,182,6074
36,42,Concerns regarding safety and security (physical security and/or cyber security),189,13456
36,42,Lacked access to capital,263,2683
36,42,Technology not applicable to this business,9047,109191
36,42,No factors adversely affected the adoption of this technology,9018,124649
37,42,Technology was too expensive,793,23476
37,42,Technology was not mature,293,17526
37,42,Lacked access to required data,61,3730
37,42,Required data not reliable,115,4658
37,42,Lacked access to required human capital and talent,0,0
37,42,Laws and regulations,0,0
37,42,Concerns regarding safety and security (physical security and/or cyber security),103,2461
37,42,Lacked access to capital,112,1532
37,42,Technology not applicable to this business,3913,58874
37,42,No factors adversely affected the adoption of this technology,3856,87175
38,42,Required data not reliable,0,0
38,42,Technology was too expensive,76,2674
38,42,Technology was not mature,73,2214
38,42,Lacked access to required data,0,0
38,42,Lacked access to required human capital and talent,71,1593
38,42,Laws and regulations,0,0
38,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
38,42,Lacked access to capital,0,0
38,42,Technology not applicable to this business,406,6521
38,42,No factors adversely affected the adoption of this technology,564,6350
39,42,Required data not reliable,40,4953
39,42,Technology was too expensive,937,21730
39,42,Technology was not mature,204,12926
39,42,Lacked access to required data,66,3357
39,42,Lacked access to required human capital and talent,245,10005
39,42,Laws and regulations,0,0
39,42,Concerns regarding safety and security (physical security and/or cyber security),94,4979
39,42,Lacked access to capital,222,2554
39,42,Technology not applicable to this business,4338,54317
39,42,No factors adversely affected the adoption of this technology,3987,74098
40,42,Technology was not mature,99,3983
40,42,Technology was too expensive,306,6091
40,42,Lacked access to required data,0,0
40,42,Required data not reliable,68,1934
40,42,Lacked access to required human capital and talent,85,1894
40,42,Laws and regulations,0,0
40,42,Concerns regarding safety and security (physical security and/or cyber security),0,0
40,42,Lacked access to capital,0,0
40,42,Technology not applicable to this business,1540,15929
40,42,No factors adversely affected the adoption of this technology,1056,20083
41,42,Technology was too expensive,249,4638
41,42,Technology was not mature,89,3612
41,42,Lacked access to required data,91,885
41,42,Required data not reliable,26,922
41,42,Lacked access to required human capital and talent,122,2200
41,42,Laws and regulations,0,0
41,42,Concerns regarding safety and security (physical security and/or cyber security),75,2196
41,42,Lacked access to capital,55,2165
41,42,Technology not applicable to this business,1853,26194
41,42,No factors adversely affected the adoption of this technology,1632,30951
42,42,Technology was too expensive,830,18119
42,42,Technology was not mature,385,25531
42,42,Lacked access to required data,112,11988
42,42,Required data not reliable,121,6513
42,42,Lacked access to capital,176,1920
42,42,Lacked access to required human capital and talent,157,7962
42,42,Laws and regulations,109,2287
42,42,Concerns regarding safety and security (physical security and/or cyber security),117,4383
42,42,Technology not applicable to this business,5094,87142
42,42,No factors adversely affected the adoption of this technology,4453,95660
45,42,Lacked access to required data,109,1967
45,42,Technology was too expensive,131,8436
45,42,Technology was not mature,134,5746
45,42,Required data not reliable,82,1399
45,42,Lacked access to required human capital and talent,0,0
45,42,Laws and regulations,0,0
45,42,Concerns regarding safety and security (physical security and/or cyber security),27,2783
45,42,Lacked access to capital,25,788
45,42,Technology not applicable to this business,1571,20803
45,42,No factors adversely affected the adoption of this technology,1633,24319
44,42,Technology was too expensive,0,0
44,42,Lacked access to required human capital and talent,19,270
